Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,-1,0,1,50.0,-3,0,3,150.0,0
0.06,-2,0,1,50.0,-10,0,7,350.0,0
0.08,-4,0,2,100.0,-19,0,9,450.0,0
0.1,-5,0,1,50.0,-29,0,10,500.0,0
0.12,-7,0,2,100.0,-40,0,11,550.0,0
0.14,-9,0,2,100.0,-53,0,13,650.0,0
0.16,-11,0,2,100.0,-66,0,13,650.0,0
0.18,-14,0,3,150.0,-81,0,15,750.0,0
0.2,-16,0,2,100.0,-96,0,15,750.0,0
0.22,-19,0,3,150.0,-113,0,17,850.0,0
0.24,-21,0,2,100.0,-130,0,17,850.0,0
0.26,-24,0,3,150.0,-147,0,17,850.0,0
0.28,-27,0,3,150.0,-165,0,18,900.0,0
0.3,-30,0,3,150.0,-184,0,19,950.0,0
0.32,-33,0,3,150.0,-204,0,20,1000.0,0
0.34,-37,0,4,200.0,-223,0,19,950.0,0
0.36,-40,0,3,150.0,-244,0,21,1050.0,0
0.38,-43,0,3,150.0,-265,0,21,1050.0,0
0.4,-47,0,4,200.0,-286,0,21,1050.0,0
0.42,-50,0,3,150.0,-308,0,22,1100.0,0
0.44,-54,0,4,200.0,-330,0,22,1100.0,0
0.46,-57,0,3,150.0,-352,0,22,1100.0,0
0.48,-61,0,4,200.0,-375,0,23,1150.0,0
0.5,-65,0,4,200.0,-399,0,24,1200.0,0
0.52,-69,0,4,200.0,-422,0,23,1150.0,0
0.54,-72,0,3,150.0,-446,0,24,1200.0,0
0.56,-76,0,4,200.0,-470,0,24,1200.0,0
0.58,-80,0,4,200.0,-495,0,25,1250.0,0
0.6,-84,0,4,200.0,-520,0,25,1250.0,0
0.62,-88,0,4,200.0,-545,0,25,1250.0,0
0.64,-92,0,4,200.0,-570,0,25,1250.0,0
0.66,-96,0,4,200.0,-595,0,25,1250.0,0
0.68,-101,0,5,250.0,-621,0,26,1300.0,0
0.7,-105,0,4,200.0,-647,0,26,1300.0,0
