Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-4,0,4,200.0,0
0.06,6,1,3,150.0,-13,0,9,450.0,0
0.08,11,1,5,250.0,-25,0,12,600.0,0
0.1,16,1,5,250.0,-39,0,14,700.0,0
0.12,23,1,7,350.0,-54,0,15,750.0,0
0.14,29,1,6,300.0,-71,0,17,850.0,0
0.16,37,1,8,400.0,-89,0,18,900.0,0
0.18,44,1,7,350.0,-109,0,20,1000.0,0
0.2,53,1,9,450.0,-129,0,20,1000.0,0
0.22,61,1,8,400.0,-151,0,22,1100.0,0
0.24,70,1,9,450.0,-173,0,22,1100.0,0
0.26,79,1,9,450.0,-197,0,24,1200.0,0
0.28,89,1,10,500.0,-221,0,24,1200.0,0
0.3,99,1,10,500.0,-247,0,26,1300.0,0
0.32,109,1,10,500.0,-273,0,26,1300.0,0
0.34,119,1,10,500.0,-299,0,26,1300.0,0
0.36,130,1,11,550.0,-327,0,28,1400.0,0
0.38,140,1,10,500.0,-355,0,28,1400.0,0
0.4,151,1,11,550.0,-383,0,28,1400.0,0
0.42,162,1,11,550.0,-412,0,29,1450.0,0
0.44,173,1,11,550.0,-442,0,30,1500.0,0
0.46,185,1,12,600.0,-472,0,30,1500.0,0
0.48,196,1,11,550.0,-503,0,31,1550.0,0
0.5,208,1,12,600.0,-534,0,31,1550.0,0
0.52,219,1,11,550.0,-566,0,32,1600.0,0
0.54,231,1,12,600.0,-598,0,32,1600.0,0
0.56,243,1,12,600.0,-631,0,33,1650.0,0
0.58,254,1,11,550.0,-664,0,33,1650.0,0
0.6,266,1,12,600.0,-697,0,33,1650.0,0
0.62,278,1,12,600.0,-730,0,33,1650.0,0
0.64,290,1,12,600.0,-764,0,34,1700.0,0
0.66,302,1,12,600.0,-798,0,34,1700.0,0
0.68,314,1,12,600.0,-833,0,35,1750.0,0
0.7,326,1,12,600.0,-868,0,35,1750.0,0
0.72,338,1,12,600.0,-903,0,35,1750.0,0
