Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-5,0,5,250.0,0
0.06,6,1,3,150.0,-14,0,9,450.0,0
0.08,11,1,5,250.0,-26,0,12,600.0,0
0.1,17,1,6,300.0,-40,0,14,700.0,0
0.12,24,1,7,350.0,-56,0,16,800.0,0
0.14,31,1,7,350.0,-74,0,18,900.0,0
0.16,38,1,7,350.0,-93,0,19,950.0,0
0.18,46,1,8,400.0,-113,0,20,1000.0,0
0.2,55,1,9,450.0,-135,0,22,1100.0,0
0.22,64,1,9,450.0,-157,0,22,1100.0,0
0.24,74,1,10,500.0,-181,0,24,1200.0,0
0.26,84,1,10,500.0,-206,0,25,1250.0,0
0.28,94,1,10,500.0,-231,0,25,1250.0,0
0.3,104,1,10,500.0,-258,0,27,1350.0,0
0.32,115,1,11,550.0,-285,0,27,1350.0,0
0.34,126,1,11,550.0,-313,0,28,1400.0,0
0.36,137,1,11,550.0,-342,0,29,1450.0,0
0.38,149,1,12,600.0,-371,0,29,1450.0,0
0.4,161,1,12,600.0,-401,0,30,1500.0,0
0.42,173,1,12,600.0,-432,0,31,1550.0,0
0.44,185,1,12,600.0,-463,0,31,1550.0,0
0.46,197,1,12,600.0,-495,0,32,1600.0,0
0.48,210,1,13,650.0,-527,0,32,1600.0,0
0.5,223,1,13,650.0,-560,0,33,1650.0,0
0.52,235,1,12,600.0,-594,0,34,1700.0,0
0.54,248,1,13,650.0,-627,0,33,1650.0,0
0.56,262,1,14,700.0,-662,0,35,1750.0,0
0.58,275,1,13,650.0,-696,0,34,1700.0,0
0.6,288,1,13,650.0,-732,0,36,1800.0,0
0.62,302,1,14,700.0,-767,0,35,1750.0,0
0.64,315,1,13,650.0,-803,0,36,1800.0,0
0.66,329,1,14,700.0,-839,0,36,1800.0,0
0.68,342,1,13,650.0,-876,0,37,1850.0,0
0.7,356,1,14,700.0,-913,0,37,1850.0,0
0.72,370,1,14,700.0,-950,0,37,1850.0,0
