Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,6,1,6,300.0,-14,0,14,700.0,0
0.26,17,1,11,550.0,-40,0,26,1300.0,0
0.28,30,1,13,650.0,-73,0,33,1650.0,0
0.3,46,1,16,800.0,-111,0,38,1900.0,0
0.32,63,1,17,850.0,-154,0,43,2150.0,0
0.34,82,1,19,950.0,-201,0,47,2350.0,0
0.36,102,1,20,1000.0,-251,0,50,2500.0,0
0.38,124,1,22,1100.0,-304,0,53,2650.0,0
0.4,146,1,22,1100.0,-360,0,56,2800.0,0
0.42,170,1,24,1200.0,-417,0,57,2850.0,0
0.44,194,1,24,1200.0,-477,0,60,3000.0,0
0.46,219,1,25,1250.0,-539,0,62,3100.0,0
0.48,244,1,25,1250.0,-602,0,63,3150.0,0
0.5,270,1,26,1300.0,-667,0,65,3250.0,0
0.52,297,1,27,1350.0,-733,0,66,3300.0,0
0.54,324,1,27,1350.0,-799,0,66,3300.0,0
0.56,351,1,27,1350.0,-867,0,68,3400.0,0
0.58,378,1,27,1350.0,-936,0,69,3450.0,0
0.6,406,1,28,1400.0,-1005,0,69,3450.0,0
0.62,434,1,28,1400.0,-1075,0,70,3500.0,0
0.64,462,1,28,1400.0,-1146,0,71,3550.0,0
0.66,490,1,28,1400.0,-1217,0,71,3550.0,0
0.68,519,1,29,1450.0,-1288,0,71,3550.0,0
0.7,547,1,28,1400.0,-1359,0,71,3550.0,0
