Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.002,0,1,0,0.0,0,1,0,0.0,0
0.004,-1,0,1,500.0,0,1,0,0.0,0
0.006,-1,1,0,0.0,0,1,0,0.0,0
0.008,-1,1,0,0.0,0,1,0,0.0,0
0.01,-1,1,0,0.0,0,1,0,0.0,0
0.012,-1,1,0,0.0,0,1,0,0.0,0
0.014,-2,0,1,500.0,0,1,0,0.0,0
0.016,-2,1,0,0.0,0,1,0,0.0,0
0.018,-2,1,0,0.0,-1,0,1,500.0,0
0.02,-3,0,1,500.0,-1,1,0,0.0,0
0.022,-3,1,0,0.0,-1,1,0,0.0,0
0.024,-3,1,0,0.0,-1,1,0,0.0,0
0.026,-4,0,1,500.0,-2,0,1,500.0,0
0.028,-4,1,0,0.0,-2,1,0,0.0,0
0.03,-4,1,0,0.0,-2,1,0,0.0,0
0.032,-5,0,1,500.0,-3,0,1,500.0,0
0.034,-5,1,0,0.0,-3,1,0,0.0,0
0.036,-6,0,1,500.0,-3,1,0,0.0,0
0.038,-6,1,0,0.0,-3,1,0,0.0,0
0.04,-7,0,1,500.0,-4,0,1,500.0,0
0.042,-7,1,0,0.0,-4,1,0,0.0,0
0.044,-8,0,1,500.0,-5,0,1,500.0,0
0.046,-8,1,0,0.0,-5,1,0,0.0,0
0.048,-9,0,1,500.0,-5,1,0,0.0,0
0.05,-9,1,0,0.0,-6,0,1,500.0,0
0.052,-10,0,1,500.0,-6,1,0,0.0,0
0.054,-10,1,0,0.0,-6,1,0,0.0,0
0.056,-11,0,1,500.0,-7,0,1,500.0,0
0.058,-12,0,1,500.0,-7,1,0,0.0,0
0.06,-12,1,0,0.0,-8,0,1,500.0,0
0.062,-13,0,1,500.0,-8,1,0,0.0,0
0.064,-13,1,0,0.0,-8,1,0,0.0,0
0.066,-14,0,1,500.0,-9,0,1,500.0,0
0.068,-15,0,1,500.0,-9,1,0,0.0,0
0.07,-15,1,0,0.0,-10,0,1,500.0,0
0.072,-16,0,1,500.0,-10,1,0,0.0,0
0.074,-17,0,1,500.0,-11,0,1,500.0,0
0.076,-17,1,0,0.0,-11,1,0,0.0,0
0.078,-18,0,1,500.0,-12,0,1,500.0,0
0.08,-19,0,1,500.0,-12,1,0,0.0,0
0.082,-19,1,0,0.0,-13,0,1,500.0,0
0.084,-20,0,1,500.0,-13,1,0,0.0,0
0.086,-21,0,1,500.0,-14,0,1,500.0,0
0.088,-22,0,1,500.0,-14,1,0,0.0,0
0.09,-22,1,0,0.0,-14,1,0,0.0,0
0.092,-23,0,1,500.0,-15,0,1,500.0,0
0.094,-24,0,1,500.0,-16,0,1,500.0,0
0.096,-24,1,0,0.0,-16,1,0,0.0,0
0.098,-25,0,1,500.0,-17,0,1,500.0,0
0.1,-26,0,1,500.0,-17,1,0,0.0,0
0.102,-27,0,1,500.0,-18,0,1,500.0,0
0.104,-28,0,1,500.0,-18,1,0,0.0,0
0.106,-28,1,0,0.0,-19,0,1,500.0,0
0.108,-29,0,1,500.0,-19,1,0,0.0,0
0.11,-30,0,1,500.0,-20,0,1,500.0,0
0.112,-31,0,1,500.0,-20,1,0,0.0,0
0.114,-32,0,1,500.0,-21,0,1,500.0,0
0.116,-32,1,0,0.0,-21,1,0,0.0,0
