Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,-2,0,2,100.0,0,1,0,0.0,0
0.06,-4,0,2,100.0,-2,0,2,100.0,0
0.08,-6,0,2,100.0,-4,0,2,100.0,0
0.1,-10,0,4,200.0,-6,0,2,100.0,0
0.12,-13,0,3,150.0,-8,0,2,100.0,0
0.14,-17,0,4,200.0,-11,0,3,150.0,0
0.16,-22,0,5,250.0,-14,0,3,150.0,0
0.18,-26,0,4,200.0,-17,0,3,150.0,0
0.2,-31,0,5,250.0,-21,0,4,200.0,0
0.22,-36,0,5,250.0,-24,0,3,150.0,0
0.24,-41,0,5,250.0,-28,0,4,200.0,0
0.26,-47,0,6,300.0,-32,0,4,200.0,0
0.28,-53,0,6,300.0,-36,0,4,200.0,0
0.3,-59,0,6,300.0,-40,0,4,200.0,0
0.32,-65,0,6,300.0,-44,0,4,200.0,0
0.34,-71,0,6,300.0,-48,0,4,200.0,0
0.36,-77,0,6,300.0,-53,0,5,250.0,0
0.38,-84,0,7,350.0,-57,0,4,200.0,0
0.4,-91,0,7,350.0,-62,0,5,250.0,0
0.42,-97,0,6,300.0,-66,0,4,200.0,0
0.44,-104,0,7,350.0,-71,0,5,250.0,0
0.46,-112,0,8,400.0,-76,0,5,250.0,0
0.48,-119,0,7,350.0,-81,0,5,250.0,0
0.5,-126,0,7,350.0,-86,0,5,250.0,0
0.52,-133,0,7,350.0,-91,0,5,250.0,0
0.54,-141,0,8,400.0,-97,0,6,300.0,0
0.56,-149,0,8,400.0,-102,0,5,250.0,0
0.58,-156,0,7,350.0,-107,0,5,250.0,0
0.6,-164,0,8,400.0,-113,0,6,300.0,0
0.62,-172,0,8,400.0,-118,0,5,250.0,0
0.64,-180,0,8,400.0,-124,0,6,300.0,0
0.66,-188,0,8,400.0,-129,0,5,250.0,0
0.68,-196,0,8,400.0,-135,0,6,300.0,0
0.7,-204,0,8,400.0,-140,0,5,250.0,0
0.72,-212,0,8,400.0,-146,0,6,300.0,0
