Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,-1,0,1,50.0,0,1,0,0.0,0
0.06,-2,0,1,50.0,-1,0,1,50.0,0
0.08,-3,0,1,50.0,-1,1,0,0.0,0
0.1,-5,0,2,100.0,-2,0,1,50.0,0
0.12,-6,0,1,50.0,-4,0,2,100.0,0
0.14,-8,0,2,100.0,-5,0,1,50.0,0
0.16,-10,0,2,100.0,-6,0,1,50.0,0
0.18,-13,0,3,150.0,-8,0,2,100.0,0
0.2,-15,0,2,100.0,-9,0,1,50.0,0
0.22,-17,0,2,100.0,-11,0,2,100.0,0
0.24,-20,0,3,150.0,-13,0,2,100.0,0
0.26,-22,0,2,100.0,-15,0,2,100.0,0
0.28,-25,0,3,150.0,-16,0,1,50.0,0
0.3,-28,0,3,150.0,-18,0,2,100.0,0
0.32,-31,0,3,150.0,-20,0,2,100.0,0
0.34,-34,0,3,150.0,-23,0,3,150.0,0
0.36,-37,0,3,150.0,-25,0,2,100.0,0
0.38,-40,0,3,150.0,-27,0,2,100.0,0
0.4,-44,0,4,200.0,-29,0,2,100.0,0
0.42,-47,0,3,150.0,-31,0,2,100.0,0
0.44,-50,0,3,150.0,-34,0,3,150.0,0
0.46,-54,0,4,200.0,-36,0,2,100.0,0
0.48,-58,0,4,200.0,-39,0,3,150.0,0
0.5,-61,0,3,150.0,-41,0,2,100.0,0
0.52,-65,0,4,200.0,-44,0,3,150.0,0
0.54,-69,0,4,200.0,-46,0,2,100.0,0
0.56,-73,0,4,200.0,-49,0,3,150.0,0
0.58,-76,0,3,150.0,-51,0,2,100.0,0
0.6,-80,0,4,200.0,-54,0,3,150.0,0
0.62,-84,0,4,200.0,-57,0,3,150.0,0
0.64,-88,0,4,200.0,-60,0,3,150.0,0
0.66,-93,0,5,250.0,-62,0,2,100.0,0
0.68,-97,0,4,200.0,-65,0,3,150.0,0
0.7,-101,0,4,200.0,-68,0,3,150.0,0
0.72,-105,0,4,200.0,-71,0,3,150.0,0
