Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,-2,0,2,100.0,0,1,0,0.0,0
0.06,-4,0,2,100.0,-2,0,2,100.0,0
0.08,-6,0,2,100.0,-4,0,2,100.0,0
0.1,-10,0,4,200.0,-6,0,2,100.0,0
0.12,-13,0,3,150.0,-8,0,2,100.0,0
0.14,-17,0,4,200.0,-11,0,3,150.0,0
0.16,-22,0,5,250.0,-14,0,3,150.0,0
0.18,-26,0,4,200.0,-17,0,3,150.0,0
0.2,-31,0,5,250.0,-20,0,3,150.0,0
0.22,-36,0,5,250.0,-24,0,4,200.0,0
0.24,-41,0,5,250.0,-28,0,4,200.0,0
0.26,-47,0,6,300.0,-31,0,3,150.0,0
0.28,-53,0,6,300.0,-35,0,4,200.0,0
0.3,-59,0,6,300.0,-39,0,4,200.0,0
0.32,-65,0,6,300.0,-44,0,5,250.0,0
0.34,-71,0,6,300.0,-48,0,4,200.0,0
0.36,-78,0,7,350.0,-52,0,4,200.0,0
0.38,-84,0,6,300.0,-57,0,5,250.0,0
0.4,-91,0,7,350.0,-62,0,5,250.0,0
0.42,-98,0,7,350.0,-66,0,4,200.0,0
0.44,-105,0,7,350.0,-71,0,5,250.0,0
0.46,-113,0,8,400.0,-76,0,5,250.0,0
0.48,-120,0,7,350.0,-81,0,5,250.0,0
0.5,-127,0,7,350.0,-86,0,5,250.0,0
0.52,-135,0,8,400.0,-91,0,5,250.0,0
0.54,-143,0,8,400.0,-96,0,5,250.0,0
0.56,-151,0,8,400.0,-102,0,6,300.0,0
0.58,-158,0,7,350.0,-107,0,5,250.0,0
0.6,-167,0,9,450.0,-112,0,5,250.0,0
0.62,-175,0,8,400.0,-118,0,6,300.0,0
0.64,-183,0,8,400.0,-123,0,5,250.0,0
0.66,-191,0,8,400.0,-129,0,6,300.0,0
0.68,-200,0,9,450.0,-134,0,5,250.0,0
0.7,-208,0,8,400.0,-140,0,6,300.0,0
0.72,-217,0,9,450.0,-146,0,6,300.0,0
