Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-5,0,5,250.0,0
0.06,7,1,4,200.0,-16,0,11,550.0,0
0.08,13,1,6,300.0,-30,0,14,700.0,0
0.1,20,1,7,350.0,-47,0,17,850.0,0
0.12,27,1,7,350.0,-65,0,18,900.0,0
0.14,35,1,8,400.0,-85,0,20,1000.0,0
0.16,44,1,9,450.0,-107,0,22,1100.0,0
0.18,54,1,10,500.0,-131,0,24,1200.0,0
0.2,64,1,10,500.0,-156,0,25,1250.0,0
0.22,75,1,11,550.0,-182,0,26,1300.0,0
0.24,86,1,11,550.0,-209,0,27,1350.0,0
0.26,97,1,11,550.0,-237,0,28,1400.0,0
0.28,109,1,12,600.0,-267,0,30,1500.0,0
0.3,121,1,12,600.0,-297,0,30,1500.0,0
0.32,134,1,13,650.0,-328,0,31,1550.0,0
0.34,147,1,13,650.0,-360,0,32,1600.0,0
0.36,161,1,14,700.0,-393,0,33,1650.0,0
0.38,174,1,13,650.0,-427,0,34,1700.0,0
0.4,188,1,14,700.0,-461,0,34,1700.0,0
0.42,202,1,14,700.0,-496,0,35,1750.0,0
0.44,217,1,15,750.0,-532,0,36,1800.0,0
0.46,232,1,15,750.0,-569,0,37,1850.0,0
0.48,247,1,15,750.0,-606,0,37,1850.0,0
0.5,262,1,15,750.0,-643,0,37,1850.0,0
0.52,278,1,16,800.0,-681,0,38,1900.0,0
0.54,293,1,15,750.0,-720,0,39,1950.0,0
0.56,309,1,16,800.0,-759,0,39,1950.0,0
0.58,325,1,16,800.0,-799,0,40,2000.0,0
0.6,342,1,17,850.0,-839,0,40,2000.0,0
0.62,358,1,16,800.0,-879,0,40,2000.0,0
0.64,375,1,17,850.0,-920,0,41,2050.0,0
0.66,391,1,16,800.0,-961,0,41,2050.0,0
0.68,408,1,17,850.0,-1003,0,42,2100.0,0
0.7,425,1,17,850.0,-1045,0,42,2100.0,0
0.72,443,1,18,900.0,-1087,0,42,2100.0,0
