Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,2,1,2,100.0,-3,0,3,150.0,0
0.06,5,1,3,150.0,-9,0,6,300.0,0
0.08,8,1,3,150.0,-18,0,9,450.0,0
0.1,12,1,4,200.0,-27,0,9,450.0,0
0.12,16,1,4,200.0,-38,0,11,550.0,0
0.14,21,1,5,250.0,-50,0,12,600.0,0
0.16,26,1,5,250.0,-64,0,14,700.0,0
0.18,32,1,6,300.0,-78,0,14,700.0,0
0.2,38,1,6,300.0,-92,0,14,700.0,0
0.22,44,1,6,300.0,-108,0,16,800.0,0
0.24,51,1,7,350.0,-124,0,16,800.0,0
0.26,57,1,6,300.0,-141,0,17,850.0,0
0.28,64,1,7,350.0,-159,0,18,900.0,0
0.3,71,1,7,350.0,-177,0,18,900.0,0
0.32,79,1,8,400.0,-196,0,19,950.0,0
0.34,86,1,7,350.0,-216,0,20,1000.0,0
0.36,94,1,8,400.0,-236,0,20,1000.0,0
0.38,102,1,8,400.0,-256,0,20,1000.0,0
0.4,110,1,8,400.0,-277,0,21,1050.0,0
0.42,118,1,8,400.0,-298,0,21,1050.0,0
0.44,126,1,8,400.0,-320,0,22,1100.0,0
0.46,134,1,8,400.0,-342,0,22,1100.0,0
0.48,143,1,9,450.0,-365,0,23,1150.0,0
0.5,151,1,8,400.0,-388,0,23,1150.0,0
0.52,160,1,9,450.0,-411,0,23,1150.0,0
0.54,168,1,8,400.0,-435,0,24,1200.0,0
0.56,177,1,9,450.0,-459,0,24,1200.0,0
0.58,186,1,9,450.0,-483,0,24,1200.0,0
0.6,195,1,9,450.0,-508,0,25,1250.0,0
0.62,204,1,9,450.0,-533,0,25,1250.0,0
0.64,212,1,8,400.0,-558,0,25,1250.0,0
0.66,221,1,9,450.0,-584,0,26,1300.0,0
0.68,230,1,9,450.0,-609,0,25,1250.0,0
0.7,239,1,9,450.0,-635,0,26,1300.0,0
0.72,248,1,9,450.0,-662,0,27,1350.0,0
