Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,-3,0,3,150.0,-3,0,3,150.0,0
0.06,-7,0,4,200.0,-10,0,7,350.0,0
0.08,-13,0,6,300.0,-19,0,9,450.0,0
0.1,-19,0,6,300.0,-29,0,10,500.0,0
0.12,-27,0,8,400.0,-40,0,11,550.0,0
0.14,-35,0,8,400.0,-53,0,13,650.0,0
0.16,-44,0,9,450.0,-66,0,13,650.0,0
0.18,-53,0,9,450.0,-81,0,15,750.0,0
0.2,-63,0,10,500.0,-96,0,15,750.0,0
0.22,-73,0,10,500.0,-113,0,17,850.0,0
0.24,-84,0,11,550.0,-130,0,17,850.0,0
0.26,-96,0,12,600.0,-147,0,17,850.0,0
0.28,-107,0,11,550.0,-165,0,18,900.0,0
0.3,-119,0,12,600.0,-184,0,19,950.0,0
0.32,-132,0,13,650.0,-204,0,20,1000.0,0
0.34,-145,0,13,650.0,-223,0,19,950.0,0
0.36,-158,0,13,650.0,-244,0,21,1050.0,0
0.38,-171,0,13,650.0,-265,0,21,1050.0,0
0.4,-185,0,14,700.0,-286,0,21,1050.0,0
0.42,-199,0,14,700.0,-308,0,22,1100.0,0
0.44,-213,0,14,700.0,-330,0,22,1100.0,0
0.46,-228,0,15,750.0,-352,0,22,1100.0,0
0.48,-243,0,15,750.0,-375,0,23,1150.0,0
0.5,-258,0,15,750.0,-399,0,24,1200.0,0
0.52,-273,0,15,750.0,-422,0,23,1150.0,0
0.54,-288,0,15,750.0,-446,0,24,1200.0,0
0.56,-304,0,16,800.0,-470,0,24,1200.0,0
0.58,-319,0,15,750.0,-495,0,25,1250.0,0
0.6,-335,0,16,800.0,-520,0,25,1250.0,0
0.62,-351,0,16,800.0,-545,0,25,1250.0,0
0.64,-368,0,17,850.0,-570,0,25,1250.0,0
0.66,-384,0,16,800.0,-595,0,25,1250.0,0
0.68,-401,0,17,850.0,-621,0,26,1300.0,0
0.7,-417,0,16,800.0,-647,0,26,1300.0,0
