Time,J1_Pos,J1_Hz,J2_Pos,J2_Hz
0.0,0,0,0,0
0.02,-149,7450.0,301,15050.0
0.04,-214,3250.0,427,6300.0
0.06,-264,2500.0,523,4800.0
0.08,-308,2200.0,604,4050.0
0.1,-347,1950.0,676,3600.0
0.12,-382,1750.0,741,3250.0
0.14,-416,1700.0,801,3000.0
0.16,-447,1550.0,857,2800.0
0.18,-477,1500.0,909,2600.0
0.2,-506,1450.0,959,2500.0
0.22,-534,1400.0,1006,2350.0
0.24,-560,1300.0,1051,2250.0
0.26,-586,1300.0,1095,2200.0
0.28,-612,1300.0,1137,2100.0
0.3,-637,1250.0,1177,2000.0
0.32,-661,1200.0,1216,1950.0
0.34,-685,1200.0,1254,1900.0
0.36,-708,1150.0,1291,1850.0
0.38,-731,1150.0,1327,1800.0
0.4,-754,1150.0,1362,1750.0
0.42,-777,1150.0,1396,1700.0
0.44,-799,1100.0,1430,1700.0
0.46,-822,1150.0,1462,1600.0
0.48,-844,1100.0,1494,1600.0
0.5,-866,1100.0,1526,1600.0
0.52,-887,1050.0,1556,1500.0
0.54,-909,1100.0,1587,1550.0
0.56,-931,1100.0,1616,1450.0
0.58,-952,1050.0,1645,1450.0
0.6,-974,1100.0,1674,1450.0
0.62,-996,1100.0,1702,1400.0
0.64,-1017,1050.0,1729,1350.0
0.66,-1039,1100.0,1756,1350.0
0.68,-1061,1100.0,1783,1350.0
0.7,-1082,1050.0,1809,1300.0
0.72,-1104,1100.0,1835,1300.0
0.74,-1126,1100.0,1860,1250.0
0.76,-1148,1100.0,1885,1250.0
0.78,-1170,1100.0,1909,1200.0
0.8,-1193,1150.0,1933,1200.0
0.82,-1215,1100.0,1957,1200.0
0.84,-1238,1150.0,1981,1200.0
0.86,-1261,1150.0,2003,1100.0
0.88,-1284,1150.0,2026,1150.0
0.9,-1307,1150.0,2048,1100.0
0.92,-1331,1200.0,2070,1100.0
0.94,-1354,1150.0,2091,1050.0
0.96,-1378,1200.0,2112,1050.0
0.98,-1403,1250.0,2133,1050.0
1.0,-1403,0,2133,0
1.02,-1403,0,2133,0
1.04,-1403,0,2133,0
1.06,-1403,0,2133,0
1.08,-1403,0,2133,0
1.1,-1403,0,2133,0
1.12,-1403,0,2133,0
1.14,-1403,0,2133,0
1.16,-1403,0,2133,0
1.18,-1403,0,2133,0
1.2,-1428,1250.0,2153,1000.0
1.22,-1421,350.0,2145,400.0
1.24,-1414,350.0,2137,400.0
1.26,-1407,350.0,2128,450.0
1.28,-1401,300.0,2120,400.0
1.3,-1394,350.0,2111,450.0
1.32,-1388,300.0,2103,400.0
1.34,-1381,350.0,2094,450.0
1.36,-1374,350.0,2086,400.0
1.38,-1368,300.0,2077,450.0
1.4,-1361,350.0,2068,450.0
1.42,-1355,300.0,2060,400.0
1.44,-1348,350.0,2051,450.0
1.46,-1342,300.0,2042,450.0
1.48,-1335,350.0,2033,450.0
1.5,-1329,300.0,2024,450.0
1.52,-1322,350.0,2016,400.0
1.54,-1316,300.0,2007,450.0
1.56,-1309,350.0,1998,450.0
1.58,-1303,300.0,1989,450.0
1.6,-1296,350.0,1980,450.0
1.62,-1290,300.0,1971,450.0
1.64,-1284,300.0,1962,450.0
1.66,-1277,350.0,1953,450.0
1.68,-1271,300.0,1944,450.0
1.7,-1264,350.0,1934,500.0
1.72,-1258,300.0,1925,450.0
1.74,-1252,300.0,1916,450.0
1.76,-1245,350.0,1907,450.0
1.78,-1239,300.0,1897,500.0
1.8,-1232,350.0,1888,450.0
1.82,-1226,300.0,1879,450.0
1.84,-1220,300.0,1869,500.0
1.86,-1213,350.0,1860,450.0
1.88,-1207,300.0,1850,500.0
1.9,-1201,300.0,1841,450.0
1.92,-1194,350.0,1831,500.0
1.94,-1188,300.0,1822,450.0
1.96,-1182,300.0,1812,500.0
1.98,-1175,350.0,1802,500.0
2.0,-1169,300.0,1792,500.0
2.02,-1162,350.0,1783,450.0
2.04,-1156,300.0,1773,500.0
2.06,-1150,300.0,1763,500.0
