Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,3,1,3,150.0,-6,0,6,300.0,0
0.26,8,1,5,250.0,-17,0,11,550.0,0
0.28,14,1,6,300.0,-32,0,15,750.0,0
0.3,20,1,6,300.0,-49,0,17,850.0,0
0.32,28,1,8,400.0,-68,0,19,950.0,0
0.34,37,1,9,450.0,-89,0,21,1050.0,0
0.36,46,1,9,450.0,-112,0,23,1150.0,0
0.38,56,1,10,500.0,-136,0,24,1200.0,0
0.4,66,1,10,500.0,-162,0,26,1300.0,0
0.42,77,1,11,550.0,-189,0,27,1350.0,0
0.44,88,1,11,550.0,-217,0,28,1400.0,0
0.46,100,1,12,600.0,-246,0,29,1450.0,0
0.48,112,1,12,600.0,-277,0,31,1550.0,0
0.5,125,1,13,650.0,-308,0,31,1550.0,0
0.52,138,1,13,650.0,-340,0,32,1600.0,0
0.54,151,1,13,650.0,-373,0,33,1650.0,0
0.56,164,1,13,650.0,-407,0,34,1700.0,0
0.58,178,1,14,700.0,-441,0,34,1700.0,0
0.6,192,1,14,700.0,-477,0,36,1800.0,0
0.62,206,1,14,700.0,-512,0,35,1750.0,0
0.64,221,1,15,750.0,-549,0,37,1850.0,0
0.66,235,1,14,700.0,-586,0,37,1850.0,0
0.68,250,1,15,750.0,-624,0,38,1900.0,0
0.7,265,1,15,750.0,-662,0,38,1900.0,0
0.72,280,1,15,750.0,-701,0,39,1950.0,0
0.74,296,1,16,800.0,-740,0,39,1950.0,0
