Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,3,1,3,150.0,-7,0,7,350.0,0
0.26,9,1,6,300.0,-20,0,13,650.0,0
0.28,16,1,7,350.0,-37,0,17,850.0,0
0.3,24,1,8,400.0,-57,0,20,1000.0,0
0.32,33,1,9,450.0,-80,0,23,1150.0,0
0.34,43,1,10,500.0,-105,0,25,1250.0,0
0.36,54,1,11,550.0,-132,0,27,1350.0,0
0.38,66,1,12,600.0,-161,0,29,1450.0,0
0.4,78,1,12,600.0,-191,0,30,1500.0,0
0.42,91,1,13,650.0,-223,0,32,1600.0,0
0.44,105,1,14,700.0,-256,0,33,1650.0,0
0.46,119,1,14,700.0,-290,0,34,1700.0,0
0.48,134,1,15,750.0,-326,0,36,1800.0,0
0.5,149,1,15,750.0,-363,0,37,1850.0,0
0.52,164,1,15,750.0,-401,0,38,1900.0,0
0.54,180,1,16,800.0,-439,0,38,1900.0,0
0.56,196,1,16,800.0,-479,0,40,2000.0,0
0.58,213,1,17,850.0,-519,0,40,2000.0,0
0.6,230,1,17,850.0,-561,0,42,2100.0,0
0.62,247,1,17,850.0,-603,0,42,2100.0,0
0.64,265,1,18,900.0,-646,0,43,2150.0,0
0.66,283,1,18,900.0,-689,0,43,2150.0,0
0.68,301,1,18,900.0,-733,0,44,2200.0,0
0.7,319,1,18,900.0,-778,0,45,2250.0,0
0.72,338,1,19,950.0,-824,0,46,2300.0,0
