Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,3,1,3,150.0,-6,0,6,300.0,0
0.26,8,1,5,250.0,-17,0,11,550.0,0
0.28,13,1,5,250.0,-31,0,14,700.0,0
0.3,20,1,7,350.0,-48,0,17,850.0,0
0.32,28,1,8,400.0,-67,0,19,950.0,0
0.34,37,1,9,450.0,-88,0,21,1050.0,0
0.36,46,1,9,450.0,-111,0,23,1150.0,0
0.38,56,1,10,500.0,-135,0,24,1200.0,0
0.4,67,1,11,550.0,-161,0,26,1300.0,0
0.42,78,1,11,550.0,-188,0,27,1350.0,0
0.44,89,1,11,550.0,-216,0,28,1400.0,0
0.46,101,1,12,600.0,-245,0,29,1450.0,0
0.48,114,1,13,650.0,-275,0,30,1500.0,0
0.5,127,1,13,650.0,-307,0,32,1600.0,0
0.52,140,1,13,650.0,-339,0,32,1600.0,0
0.54,154,1,14,700.0,-372,0,33,1650.0,0
0.56,168,1,14,700.0,-406,0,34,1700.0,0
0.58,183,1,15,750.0,-440,0,34,1700.0,0
0.6,198,1,15,750.0,-476,0,36,1800.0,0
0.62,213,1,15,750.0,-512,0,36,1800.0,0
0.64,229,1,16,800.0,-548,0,36,1800.0,0
0.66,244,1,15,750.0,-585,0,37,1850.0,0
0.68,261,1,17,850.0,-623,0,38,1900.0,0
0.7,277,1,16,800.0,-662,0,39,1950.0,0
0.72,294,1,17,850.0,-701,0,39,1950.0,0
0.74,311,1,17,850.0,-740,0,39,1950.0,0
