Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,4,1,4,200.0,-8,0,8,400.0,0
0.26,10,1,6,300.0,-24,0,16,800.0,0
0.28,19,1,9,450.0,-44,0,20,1000.0,0
0.3,28,1,9,450.0,-68,0,24,1200.0,0
0.32,39,1,11,550.0,-95,0,27,1350.0,0
0.34,51,1,12,600.0,-124,0,29,1450.0,0
0.36,64,1,13,650.0,-155,0,31,1550.0,0
0.38,78,1,14,700.0,-189,0,34,1700.0,0
0.4,92,1,14,700.0,-224,0,35,1750.0,0
0.42,107,1,15,750.0,-261,0,37,1850.0,0
0.44,123,1,16,800.0,-299,0,38,1900.0,0
0.46,140,1,17,850.0,-339,0,40,2000.0,0
0.48,156,1,16,800.0,-380,0,41,2050.0,0
0.5,174,1,18,900.0,-422,0,42,2100.0,0
0.52,192,1,18,900.0,-465,0,43,2150.0,0
0.54,210,1,18,900.0,-509,0,44,2200.0,0
0.56,229,1,19,950.0,-554,0,45,2250.0,0
0.58,248,1,19,950.0,-600,0,46,2300.0,0
0.6,268,1,20,1000.0,-647,0,47,2350.0,0
0.62,287,1,19,950.0,-694,0,47,2350.0,0
0.64,308,1,21,1050.0,-742,0,48,2400.0,0
0.66,328,1,20,1000.0,-790,0,48,2400.0,0
0.68,349,1,21,1050.0,-839,0,49,2450.0,0
0.7,370,1,21,1050.0,-889,0,50,2500.0,0
0.72,391,1,21,1050.0,-939,0,50,2500.0,0
