Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,7,1,7,350.0,-15,0,15,750.0,0
0.06,19,1,12,600.0,-44,0,29,1450.0,0
0.08,34,1,15,750.0,-81,0,37,1850.0,0
0.1,51,1,17,850.0,-124,0,43,2150.0,0
0.12,70,1,19,950.0,-171,0,47,2350.0,0
0.14,92,1,22,1100.0,-223,0,52,2600.0,0
0.16,114,1,22,1100.0,-279,0,56,2800.0,0
0.18,138,1,24,1200.0,-337,0,58,2900.0,0
0.2,163,1,25,1250.0,-399,0,62,3100.0,0
0.22,189,1,26,1300.0,-462,0,63,3150.0,0
0.24,215,1,26,1300.0,-528,0,66,3300.0,0
0.26,243,1,28,1400.0,-596,0,68,3400.0,0
0.28,271,1,28,1400.0,-665,0,69,3450.0,0
0.3,300,1,29,1450.0,-735,0,70,3500.0,0
0.32,329,1,29,1450.0,-807,0,72,3600.0,0
0.34,359,1,30,1500.0,-879,0,72,3600.0,0
0.36,389,1,30,1500.0,-953,0,74,3700.0,0
0.38,419,1,30,1500.0,-1027,0,74,3700.0,0
0.4,449,1,30,1500.0,-1102,0,75,3750.0,0
0.42,480,1,31,1550.0,-1177,0,75,3750.0,0
0.44,511,1,31,1550.0,-1252,0,75,3750.0,0
0.46,542,1,31,1550.0,-1328,0,76,3800.0,0
0.48,573,1,31,1550.0,-1404,0,76,3800.0,0
0.5,604,1,31,1550.0,-1479,0,75,3750.0,0
0.52,635,1,31,1550.0,-1555,0,76,3800.0,0
0.54,665,1,30,1500.0,-1630,0,75,3750.0,0
0.56,696,1,31,1550.0,-1705,0,75,3750.0,0
0.58,726,1,30,1500.0,-1779,0,74,3700.0,0
0.6,757,1,31,1550.0,-1853,0,74,3700.0,0
0.62,787,1,30,1500.0,-1927,0,74,3700.0,0
0.64,817,1,30,1500.0,-1999,0,72,3600.0,0
0.66,846,1,29,1450.0,-2071,0,72,3600.0,0
0.68,875,1,29,1450.0,-2142,0,71,3550.0,0
