Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-6,0,6,300.0,0
0.06,8,1,5,250.0,-17,0,11,550.0,0
0.08,14,1,6,300.0,-32,0,15,750.0,0
0.1,21,1,7,350.0,-49,0,17,850.0,0
0.12,29,1,8,400.0,-69,0,20,1000.0,0
0.14,38,1,9,450.0,-90,0,21,1050.0,0
0.16,47,1,9,450.0,-113,0,23,1150.0,0
0.18,57,1,10,500.0,-137,0,24,1200.0,0
0.2,68,1,11,550.0,-163,0,26,1300.0,0
0.22,80,1,12,600.0,-190,0,27,1350.0,0
0.24,92,1,12,600.0,-219,0,29,1450.0,0
0.26,104,1,12,600.0,-248,0,29,1450.0,0
0.28,118,1,14,700.0,-278,0,30,1500.0,0
0.3,131,1,13,650.0,-310,0,32,1600.0,0
0.32,145,1,14,700.0,-342,0,32,1600.0,0
0.34,160,1,15,750.0,-375,0,33,1650.0,0
0.36,175,1,15,750.0,-408,0,33,1650.0,0
0.38,190,1,15,750.0,-442,0,34,1700.0,0
0.4,206,1,16,800.0,-477,0,35,1750.0,0
0.42,222,1,16,800.0,-513,0,36,1800.0,0
0.44,238,1,16,800.0,-549,0,36,1800.0,0
0.46,255,1,17,850.0,-586,0,37,1850.0,0
0.48,272,1,17,850.0,-623,0,37,1850.0,0
0.5,290,1,18,900.0,-660,0,37,1850.0,0
0.52,308,1,18,900.0,-698,0,38,1900.0,0
0.54,326,1,18,900.0,-736,0,38,1900.0,0
0.56,345,1,19,950.0,-775,0,39,1950.0,0
0.58,363,1,18,900.0,-814,0,39,1950.0,0
0.6,383,1,20,1000.0,-853,0,39,1950.0,0
0.62,402,1,19,950.0,-892,0,39,1950.0,0
0.64,422,1,20,1000.0,-932,0,40,2000.0,0
0.66,442,1,20,1000.0,-972,0,40,2000.0,0
0.68,462,1,20,1000.0,-1012,0,40,2000.0,0
0.7,482,1,20,1000.0,-1052,0,40,2000.0,0
