Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-5,0,5,250.0,0
0.06,7,1,4,200.0,-14,0,9,450.0,0
0.08,11,1,4,200.0,-27,0,13,650.0,0
0.1,17,1,6,300.0,-41,0,14,700.0,0
0.12,24,1,7,350.0,-57,0,16,800.0,0
0.14,31,1,7,350.0,-75,0,18,900.0,0
0.16,39,1,8,400.0,-95,0,20,1000.0,0
0.18,47,1,8,400.0,-116,0,21,1050.0,0
0.2,56,1,9,450.0,-138,0,22,1100.0,0
0.22,65,1,9,450.0,-161,0,23,1150.0,0
0.24,75,1,10,500.0,-185,0,24,1200.0,0
0.26,85,1,10,500.0,-210,0,25,1250.0,0
0.28,95,1,10,500.0,-236,0,26,1300.0,0
0.3,106,1,11,550.0,-263,0,27,1350.0,0
0.32,116,1,10,500.0,-290,0,27,1350.0,0
0.34,128,1,12,600.0,-319,0,29,1450.0,0
0.36,139,1,11,550.0,-348,0,29,1450.0,0
0.38,150,1,11,550.0,-378,0,30,1500.0,0
0.4,162,1,12,600.0,-408,0,30,1500.0,0
0.42,174,1,12,600.0,-439,0,31,1550.0,0
0.44,186,1,12,600.0,-471,0,32,1600.0,0
0.46,198,1,12,600.0,-503,0,32,1600.0,0
0.48,211,1,13,650.0,-536,0,33,1650.0,0
0.5,223,1,12,600.0,-569,0,33,1650.0,0
0.52,236,1,13,650.0,-603,0,34,1700.0,0
0.54,249,1,13,650.0,-637,0,34,1700.0,0
0.56,262,1,13,650.0,-672,0,35,1750.0,0
0.58,275,1,13,650.0,-707,0,35,1750.0,0
0.6,288,1,13,650.0,-742,0,35,1750.0,0
0.62,301,1,13,650.0,-778,0,36,1800.0,0
0.64,314,1,13,650.0,-814,0,36,1800.0,0
0.66,327,1,13,650.0,-851,0,37,1850.0,0
0.68,340,1,13,650.0,-888,0,37,1850.0,0
0.7,353,1,13,650.0,-925,0,37,1850.0,0
0.72,367,1,14,700.0,-962,0,37,1850.0,0
