Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,5,1,5,250.0,-10,0,10,500.0,0
0.26,13,1,8,400.0,-29,0,19,950.0,0
0.28,23,1,10,500.0,-54,0,25,1250.0,0
0.3,34,1,11,550.0,-83,0,29,1450.0,0
0.32,48,1,14,700.0,-115,0,32,1600.0,0
0.34,62,1,14,700.0,-151,0,36,1800.0,0
0.36,77,1,15,750.0,-189,0,38,1900.0,0
0.38,93,1,16,800.0,-229,0,40,2000.0,0
0.4,111,1,18,900.0,-271,0,42,2100.0,0
0.42,128,1,17,850.0,-315,0,44,2200.0,0
0.44,147,1,19,950.0,-361,0,46,2300.0,0
0.46,166,1,19,950.0,-408,0,47,2350.0,0
0.48,186,1,20,1000.0,-457,0,49,2450.0,0
0.5,206,1,20,1000.0,-507,0,50,2500.0,0
0.52,226,1,20,1000.0,-558,0,51,2550.0,0
0.54,247,1,21,1050.0,-610,0,52,2600.0,0
0.56,269,1,22,1100.0,-663,0,53,2650.0,0
0.58,290,1,21,1050.0,-717,0,54,2700.0,0
0.6,312,1,22,1100.0,-771,0,54,2700.0,0
0.62,334,1,22,1100.0,-826,0,55,2750.0,0
0.64,357,1,23,1150.0,-882,0,56,2800.0,0
0.66,379,1,22,1100.0,-939,0,57,2850.0,0
0.68,402,1,23,1150.0,-995,0,56,2800.0,0
0.7,425,1,23,1150.0,-1052,0,57,2850.0,0
0.72,447,1,22,1100.0,-1110,0,58,2900.0,0
