Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,3,1,3,150.0,-5,0,5,250.0,0
0.06,7,1,4,200.0,-16,0,11,550.0,0
0.08,13,1,6,300.0,-30,0,14,700.0,0
0.1,20,1,7,350.0,-47,0,17,850.0,0
0.12,27,1,7,350.0,-65,0,18,900.0,0
0.14,36,1,9,450.0,-86,0,21,1050.0,0
0.16,45,1,9,450.0,-108,0,22,1100.0,0
0.18,54,1,9,450.0,-131,0,23,1150.0,0
0.2,65,1,11,550.0,-156,0,25,1250.0,0
0.22,75,1,10,500.0,-182,0,26,1300.0,0
0.24,87,1,12,600.0,-209,0,27,1350.0,0
0.26,99,1,12,600.0,-237,0,28,1400.0,0
0.28,111,1,12,600.0,-267,0,30,1500.0,0
0.3,124,1,13,650.0,-297,0,30,1500.0,0
0.32,137,1,13,650.0,-328,0,31,1550.0,0
0.34,150,1,13,650.0,-360,0,32,1600.0,0
0.36,164,1,14,700.0,-393,0,33,1650.0,0
0.38,178,1,14,700.0,-426,0,33,1650.0,0
0.4,193,1,15,750.0,-460,0,34,1700.0,0
0.42,208,1,15,750.0,-495,0,35,1750.0,0
0.44,223,1,15,750.0,-530,0,35,1750.0,0
0.46,239,1,16,800.0,-566,0,36,1800.0,0
0.48,255,1,16,800.0,-603,0,37,1850.0,0
0.5,271,1,16,800.0,-640,0,37,1850.0,0
0.52,288,1,17,850.0,-678,0,38,1900.0,0
0.54,304,1,16,800.0,-716,0,38,1900.0,0
0.56,322,1,18,900.0,-754,0,38,1900.0,0
0.58,339,1,17,850.0,-793,0,39,1950.0,0
0.6,357,1,18,900.0,-833,0,40,2000.0,0
0.62,374,1,17,850.0,-872,0,39,1950.0,0
0.64,393,1,19,950.0,-913,0,41,2050.0,0
0.66,411,1,18,900.0,-953,0,40,2000.0,0
0.68,429,1,18,900.0,-994,0,41,2050.0,0
0.7,448,1,19,950.0,-1035,0,41,2050.0,0
0.72,467,1,19,950.0,-1076,0,41,2050.0,0
