Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,5,1,5,250.0,-11,0,11,550.0,0
0.26,14,1,9,450.0,-33,0,22,1100.0,0
0.28,25,1,11,550.0,-61,0,28,1400.0,0
0.3,38,1,13,650.0,-93,0,32,1600.0,0
0.32,53,1,15,750.0,-129,0,36,1800.0,0
0.34,69,1,16,800.0,-168,0,39,1950.0,0
0.36,86,1,17,850.0,-210,0,42,2100.0,0
0.38,104,1,18,900.0,-255,0,45,2250.0,0
0.4,123,1,19,950.0,-302,0,47,2350.0,0
0.42,143,1,20,1000.0,-351,0,49,2450.0,0
0.44,163,1,20,1000.0,-401,0,50,2500.0,0
0.46,184,1,21,1050.0,-454,0,53,2650.0,0
0.48,206,1,22,1100.0,-507,0,53,2650.0,0
0.5,228,1,22,1100.0,-562,0,55,2750.0,0
0.52,250,1,22,1100.0,-618,0,56,2800.0,0
0.54,273,1,23,1150.0,-675,0,57,2850.0,0
0.56,296,1,23,1150.0,-732,0,57,2850.0,0
0.58,320,1,24,1200.0,-791,0,59,2950.0,0
0.6,343,1,23,1150.0,-850,0,59,2950.0,0
0.62,367,1,24,1200.0,-910,0,60,3000.0,0
0.64,391,1,24,1200.0,-970,0,60,3000.0,0
0.66,415,1,24,1200.0,-1031,0,61,3050.0,0
0.68,440,1,25,1250.0,-1092,0,61,3050.0,0
0.7,464,1,24,1200.0,-1153,0,61,3050.0,0
0.72,488,1,24,1200.0,-1214,0,61,3050.0,0
