Time,J1_Pos,J1_Dir,J1_Delta,J1_Hz,J2_Pos,J2_Dir,J2_Delta,J2_Hz,Pen
0.0,0,1,0,0.0,0,1,0,0.0,0
0.02,0,1,0,0.0,0,1,0,0.0,0
0.04,0,1,0,0.0,0,1,0,0.0,0
0.06,0,1,0,0.0,0,1,0,0.0,0
0.08,0,1,0,0.0,0,1,0,0.0,0
0.1,0,1,0,0.0,0,1,0,0.0,0
0.12,0,1,0,0.0,0,1,0,0.0,0
0.14,0,1,0,0.0,0,1,0,0.0,0
0.16,0,1,0,0.0,0,1,0,0.0,0
0.18,0,1,0,0.0,0,1,0,0.0,0
0.2,0,1,0,0.0,0,1,0,0.0,0
0.22,0,1,0,0.0,0,1,0,0.0,0
0.24,4,1,4,200.0,-7,0,7,350.0,0
0.26,9,1,5,250.0,-21,0,14,700.0,0
0.28,16,1,7,350.0,-39,0,18,900.0,0
0.3,25,1,9,450.0,-59,0,20,1000.0,0
0.32,35,1,10,500.0,-83,0,24,1200.0,0
0.34,45,1,10,500.0,-109,0,26,1300.0,0
0.36,56,1,11,550.0,-136,0,27,1350.0,0
0.38,69,1,13,650.0,-166,0,30,1500.0,0
0.4,81,1,12,600.0,-197,0,31,1550.0,0
0.42,95,1,14,700.0,-230,0,33,1650.0,0
0.44,109,1,14,700.0,-264,0,34,1700.0,0
0.46,124,1,15,750.0,-299,0,35,1750.0,0
0.48,139,1,15,750.0,-335,0,36,1800.0,0
0.5,155,1,16,800.0,-373,0,38,1900.0,0
0.52,171,1,16,800.0,-412,0,39,1950.0,0
0.54,188,1,17,850.0,-451,0,39,1950.0,0
0.56,205,1,17,850.0,-492,0,41,2050.0,0
0.58,223,1,18,900.0,-533,0,41,2050.0,0
0.6,241,1,18,900.0,-575,0,42,2100.0,0
0.62,260,1,19,950.0,-618,0,43,2150.0,0
0.64,278,1,18,900.0,-662,0,44,2200.0,0
0.66,298,1,20,1000.0,-706,0,44,2200.0,0
0.68,317,1,19,950.0,-751,0,45,2250.0,0
0.7,337,1,20,1000.0,-796,0,45,2250.0,0
0.72,357,1,20,1000.0,-842,0,46,2300.0,0
